Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
"Home in Manzanita, Oregon, US","Near Ocean, BBQ, Dog OK, Cute Manzanita Beach",Jun 1 - 6,147.00,,New,2 queen beds
"Home in Hamilton, Canada",Stunning house on lake Ontario,Jun 25 - 30,210.00,,4.9 (192),2 beds
"Tiny home in Key Largo, Florida, US","Oceanfront Lookout Point w/two Kayaks,Beach & Dock",Aug 12 - 17,254.00,,4.86 (90),1 queen bed
"Hotel in Willemstad, Curaçao",Saint Tropez Boutique Hotel,Jun 22 - 27,125.00,,4.78 (74),1 king bed
"Cabin in Bowen Island, Canada",the legendary wildwood cabins ~ CABIN 4,Jul 8 - 13,173.00,,4.98 (678),1 queen bed
"Room in Key West, Florida, US",1-Private room/bbq/patio. 2 full bed 1 couch bed.,Jul 29 - Aug 3,258.00,,4.83 (40),2 beds
"Condo in East End, U.S. Virgin Islands",Beautiful corner unit condo right on the beach!,Jun 3 - 8,298.00,,4.97 (73),2 sofa beds
"Boat in Stuart, Florida, US",House Boat Sunset Bay Marina Stuart Fl,Sep 10 - 15,127.00,,4.92 (279),2 beds
"Apartment in Guanacaste Province, Costa Rica",Surf Shack Guiones - perfect beach location,Jun 17 - 24,130.00,,4.82 (278),2 beds
"Hut in Balderson, Canada",Glamping Cabin at Balderson Blueberries,Jun 11 - 16,80.00,,4.89 (76),1 queen bed
"Tiny home in Aptos, California, US",Bamboo Cottage in Aptos Mountain Retreat & Spa,Jul 16 - 21,130.00,,4.78 (257),1 queen bed
"Guesthouse in Naalehu, Hawaii, US",The Ohana,Jun 23 - 28,99.00,,4.86 (182),1 queen bed
"Condo in Honolulu, Hawaii, US",23FL Skyline King Studio w/Ocean & City Views.,Jun 12 - 18,221.00,174.00,4.95 (41),2 beds
"Boutique hotel in Miami Beach, Florida, US",Room 2 Queen beds- Buffet Breakfast-Steps to beach,Jun 5 - 10,116.00,139.00,4.38 (156),2 beds
"Condo in Miami, Florida, US","Luxury Condo in Hotel, amenities Downtown/Brickell",Jun 11 - 16,219.00,61.00,4.94 (72),2 sofa beds
"Guesthouse in Naalehu, Hawaii, US",The Ohana,Jun 23 - 28,99.00,97.00,4.86 (182),1 queen bed
"Tiny home in Sackville, Canada",Enchanting Tiny Home 1 KM from downtown Sackville,Jun 3 - 8,117.00,192.00,4.86 (64),1 queen bed
"Apartment in Carolina, Puerto Rico",Isla Verde Beach Studio {105},Jul 23 - 28,97.00,126.00,4.67 (433),2 queen beds
"Condo in Atlantic City, New Jersey, US",Beachfront Condo Now Available! Sleeps 4 + Parking,Jun 4 - 9,133.00,,4.51 (88),2 beds
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",CASA BADAWI in 400m Tropical Garden. Optical Fiber,Jun 6 - 11,72.00,,4.96 (108),2 beds
"Apartment in Santa Teresa Beach, Costa Rica",Beachside Apartment with Pool,Jun 10 - 15,117.00,,4.84 (270),2 beds
"Condo in Miami Beach, Florida, US",Oceanfront 16th Floor Brand New Beachfront Flat,Jun 7 - 12,302.00,,4.83 (683),1 bed
"Chalet in Matapalo, Costa Rica","House1 private swming pool, BBQ ranch, wifi 200mb",Jun 26 - Jul 1,43.00,,4.83 (108),4 beds
"Room in Panama City Beach, Florida, US","LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",Jun 17 - 22,146.00,,4.88 (256),2 queen beds
"Apartment in Yachats, Oregon, US",Beachfront Escape Unit #1 at Beachcomber Cottages,Jun 20 - 25,212.00,,4.54 (151),2 beds
"Condo in San Juan, Puerto Rico",CDM-Beach living @ Condado with pool and parking!,Jul 9 - 14,144.00,,4.84 (141),2 king beds
"Condo in Luquillo, Puerto Rico",AHHH-MAZING VIEWS! Beach Front Apt.,Sep 6 - 12,121.00,,4.88 (490),2 beds
"Home in Avalon, California, US","Tropical Island Escape w/ Deck, Walk to Avalon Bay",Jun 19 - 24,336.00,,4.34 (80),1 queen bed
"Cabin in Sorrento, Canada","The Thimbleberry MicroCabin near lake, hot tub use",Jun 4 - 9,108.00,,4.97 (146),1 queen bed
"Room in Miami, Florida, US",Private room/bathroom in modern house with Pool,Jul 8 - 14,128.00,,4.83 (181),1 queen bed
"Apartment in Miami Beach, Florida, US","Modern 1/1, Half a Block from The Ocean",Jun 12 - 17,140.00,92.00,4.75 (308),2 beds
"Room in Kailua-Kona, Hawaii, US",Satori Suite (The Bamboo House),Jun 9 - 14,199.00,159.00,4.91 (292),2 double beds
"Apartment in Cancún, Mexico",Cancun Suites (Standard Room),Jul 2 - 8,81.00,140.00,4.47 (192),3 beds
"Room in Galveston, Texas, US",Tropicana Suite-Grand Manor Luxury Mansion Loft,Aug 6 - 12,92.00,46.00,4.86 (494),1 king bed
"Room in Kissimmee, Florida, US",Disney/Universal Home Away from Home!,Aug 20 - 25,162.00,48.00,4.95 (221),1 king bed
"Villa in Morongo Valley, California, US",Pink Galaxy | Private Observatory · Hot Tub · Pool,Jun 7 - 12,283.00,192.00,5.0 (9),1 queen bed
"Room in La Habana, Cuba",Camera argento in tipica casa coloniale,Jun 19 - 24,42.00,,4.81 (168),3 beds
"Room in Kihei, Hawaii, US","GARDEN ROOM, private bathroom, separate entrance",Jun 24 - 29,184.00,,4.96 (284),2 beds
"Treehouse in Zona Hotelera, Mexico","Tree House - Beach Area, KS bed, 3 PPL",Jul 10 - 15,157.00,,4.75 (165),1 double bed
"Apartment in Playa del Carmen, Mexico",It Hotel & Residences - Studio Rental in PDC,Jun 3 - 8,75.00,,4.79 (253),1 double bed
"Hotel in Isla Mujeres, Mexico","Cozy & Neat hotel room 2pax ocean view WiFi,Pool",Aug 5 - 10,115.00,,4.52 (92),1 double bed
"Hostel in Tulum, Mexico",Meteora Stay & Coffehouse Tulum - Deluxe Queen,Jun 1 - 6,59.00,,4.74 (105),1 double bed
"Home in Oceanside, Oregon, US",Movie Theater + Kid Friendly | Book the Dome!,Jun 4 - 9,200.00,,4.97 (64),1 double bed
"Room in Wilmington, New York, US",My Adirondack Home - Very Scenic,Jun 5 - 10,107.00,,4.96 (520),1 double bed
"Condo in Miami Beach, Florida, US",New 16th Floor Beachfront 180º Oceanview Apartment,Jun 1 - 6,302.00,,4.87 (659),1 double bed
"Room in Cancún, Mexico",Camilo's Luxury Shared Townhouse,Jul 13 - 18,81.00,,4.87 (301),1 double bed
"Room in Cancún, Mexico","Surf, family & friends! Tropical Room in downtown",Jun 3 - 8,51.00,,4.95 (86),1 double bed
"Apartment in Cancún, Mexico",1208 Beach property part ocean & pool view,Jun 2 - 7,79.00,,4.64 (148),1 double bed
"Treehouse in Sandane , Norway",Amazing panoramic tree house Norway,Jun 4 - 9,285.00,185.00,4.86 (410),1 double bed
"Home in Jurków, Poland",Beachfront Cottage on the Lake,Jun 11 - 16,140.00,141.00,4.72 (25),4 beds
"Farm stay in Şarköy, Turkey",Off-Grid vineyard and olive orchard home.,Jun 7 - 13,144.00,136.00,5.0 (9),3 beds
"Cabin in Hvanneyri, Iceland",Mirror House Iceland,Sep 1 - 6,735.00,75.00,New,1 bed
"Place to stay in Krabčice, Czechia","R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",Jun 1 - 6,78.00,,4.92 (36),1 sofa bed
"Condo in Fiumicino, Italy",LOVE Attic,Jun 4 - 9,209.00,,4.85 (178),2 beds
"Cabin in Güejar Sierra, Spain",Natural show in Cabaña Alcazaba,Jun 11 - 16,111.00,,4.86 (568),4 double beds
"Cabin in Teo, Spain",MU_Moradas no Ulla 6. Cabañas de Compostela.,Jun 11 - 16,112.00,,4.96 (89),1 queen bed
"Place to stay in Hol, Norway",Unik Hobbit Cabin,Jun 1 - 6,221.00,,4.84 (239),2 beds
"Farm stay in Nyköping S, Sweden",Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,Jun 26 - Jul 1,73.00,,4.89 (18),2 beds
"Houseboat in Jickovice, Czechia","Boat in Orlik, you want it!",Jun 8 - 13,78.00,,4.31 (29),4 sofa beds
"Cabin in Hornedo, Spain",Forest cabin,Sep 26 - Oct 2,80.00,,4.84 (212),1 double bed
"Home in Viana do Castelo, Portugal",Amonde Village - Casa P * Comfort & Quality,Jun 18 - 25,168.00,,4.98 (51),3 beds
"Tower in Gombola, Italy",Tower house Gombola,Jun 4 - 9,166.00,,4.87 (45),3 beds
"Cabin in Darżkowo, Poland",hut in the mid. of nowhere + priv pond+3 ha,Jun 1 - 6,181.00,,4.79 (396),2 beds
"Home in Kenilworth, UK",The Water Tower at Long Meadow Farm,Jun 4 - 9,246.00,,4.85 (181),2 double beds
"Room in Dassel, Germany",Alte Wassermühle Friedrichshausen - Eulenstube,Jun 10 - 15,55.00,,4.96 (25),3 beds
"Farm stay in Montregard, France",Vovady Farm : Roulotte Bohème,Jun 1 - 6,82.00,,4.85 (34),3 beds
"Room in Saint-Ouen, France",Biron aux Puces de Saint Vincent Market,Oct 29 - Nov 3,95.00,84.00,4.9 (61),2 double beds
"Cabin in Gällstad, Sweden",Cabin on the countryside close to the small city.,Jun 10 - 15,111.00,136.00,4.71 (51),5 beds
"Cabin in Trasquera, Italy",La Barona Chalet,Jun 4 - 9,223.00,167.00,4.99 (240),1 bed
"Shepherd’s hut in Hessisch Lichtenau, Germany","""Lieblingsplatz"" shepherd's hut",Jun 2 - 7,55.00,,4.96 (24),2 beds
"Hut in Oxfordshire, UK",Rectory Farm Hideaway,Aug 28 - Sep 2,178.00,,4.93 (535),2 double beds
"Tiny home in Draperstown, UK",The Black Shack @ Bancran School,Aug 4 - 9,169.00,,4.97 (304),3 beds
"Apartment in Calpe, Spain",Apartment Caribe - PlusHolidays,Jun 1 - 6,80.00,,3.67 (3),2 double beds
"Shepherd’s hut in Saint-Nabord, France",Anty's Pond: Davy Crockett's Hut,Jun 23 - 28,93.00,,4.87 (150),2 double beds
"Apartment in Biarritz, France",Biarritz Grande Plage 25m2 with Balcony,Jun 1 - 6,176.00,,4.91 (316),2 beds
"Trullo in Ostuni, Italy",TRULLO ISABELLA,Jun 25 - 30,158.00,,4.98 (95),4 beds
"Farm stay in Girvan, UK",Secluded Hand crafted log cabin,Jun 5 - 10,139.00,,5.0 (68),1 bed
"Cabin in Monmouth, UK",Stargazer Cabin - Monmouth Walking Distance Town,Jul 27 - Aug 1,240.00,,4.9 (287),1 sofa bed
"Home in Miazzina, Italy",Baita Vrei (2)"Titta" - Hut Lago Maggiore,Jun 4 - 9,61.00,,4.84 (63),2 beds
"Tiny home in Poltimore, UK",Tranquil retreat with fantastic countryside views,Aug 2 - 7,115.00,,4.92 (227),2 beds
"Villa in Pollina, Italy",Romantic and one-of-a-kind Beachouse,Oct 12 - 17,183.00,,4.88 (48),4 beds
"Condo in Χράνοι, Greece",Ilaira Apartments,Jun 7 - 12,86.00,,4.86 (38),1 double bed
"Apartment in Rodos, Greece",Central 1bedroom apt by the sea,Oct 10 - 15,61.00,,4.76 (214),2 beds
"Tiny home in Midmar, UK",Cosy Romantic Cabin with Wood Burning Stove.,Jun 11 - 16,107.00,,4.96 (274),2 beds
"Farm stay in Agello, Italy",Historic residence surrounded by olive trees,Jun 12 - 17,75.00,115.00,4.98 (46),2 beds
"Cabin in Adainville, France",Wonderful Old Cabin on Rare Natural Site,Jun 11 - 16,147.00,133.00,4.93 (151),1 queen bed
"Castle in Vay, France","Stay in the castle, with family or friends",Jun 18 - 23,92.00,118.00,4.94 (169),4 beds
"Room in Aljezur, Portugal",XS Village - Arrifana Suite (private bathroom),Jun 24 - 29,100.00,,4.96 (25),2 beds
"Barn in Rattray, UK",The Loft at the Bonnington Farm,Jun 15 - 21,135.00,,4.89 (423),1 bed
"Hotel room in Muratpaşa, Turkey",KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,Jun 25 - 30,83.00,,4.73 (230),1 bed
"Earthen home in Bronwydd Arms, UK",strawbale roundhouse for vegetarian,Jun 29 - Jul 4,108.00,,4.9 (297),2 beds
"Room in Behren-Lübchin, Germany",Wohnung Ruth Herrenhaus Viecheln Anno 1869,Jun 11 - 16,121.00,,4.97 (34),2 beds
"Tiny home in Les Haudères, Switzerland",Swiss Tiny Chalet,Jun 1 - 6,109.00,,4.8 (157),4 single beds
"Chalet in Étival, France",The Napoleonic period chalet in the High Jura,Jul 16 - 21,105.00,,4.98 (190),1 queen bed
"Home in Rémalard, France","Moulin de Boiscorde, ideal for couples and families",Jun 2 - 7,128.00,,4.9 (41),3 beds
"Farm stay in Montepulciano, Italy",Rural Tuscany | Wine farm with pool | Terrarossa,Jun 14 - 20,148.00,,4.33 (6),5 beds
"Trullo in Ostuni, Italy",Magical Trullo in Ostuni Cis BR0740129000012213,Jul 19 - 24,105.00,,4.87 (87),1 sofa bed
"Cabin in Nowy Targ, Poland",Gruszkówka 1 Cottage (7 km from Białka ),Jun 18 - 25,96.00,,4.98 (86),1 bed
"Shepherd’s hut in Hollacombe, UK",Woodland Stargazing Cabin,Jun 2 - 7,133.00,,4.83 (174),1 bed
"Room in London, UK",Room available in Greater London suburb home,May 1 - 6,43.00,,4.98 (94),1 bed
"Apartment in Megalochori, Greece",Casa Tua,Jun 4 - 9,142.00,,4.66 (68),1 bed
"Farm stay in Catsfield, UK",CABIN X GPF,Jun 25 - 30,225.00,,4.99 (239),1 bed
"Room in La Zubia, Spain",Alhambra Trails 2,Jun 6 - 13,94.00,84.00,4.78 (36),2 beds
"Chalet in Afa, France",""" La cabane du Gozzi""",Jun 1 - 6,85.00,66.00,4.79 (346),2 beds
"Apartment in Ericeira, Portugal",FLH Ericeira Ocean Flat,Jul 16 - 21,216.00,157.00,4.45 (187),3 beds
"Room in Rouffignac-de-Sigoulès, France",manoir 19 ème siècle LE COUTUREAU isaline,Jun 1 - 6,135.00,,5.0 (11),1 bed
"Guesthouse in Esche, Germany",Guesthouse an der Vechte,Jul 22 - 27,50.00,,4.94 (104),2 beds
"Condo in Kremasti, Greece",L & C Deluxe Apartment - luxury and comfort,Jun 6 - 11,136.00,,5.0 (45),1 double bed
"Room in Torreglia, Italy",Country House,Jun 11 - 16,69.00,,4.94 (84),3 beds
"Cave in Mesaria, Greece",Luxury Triple cave room,Jun 12 - 17,129.00,,4.72 (32),4 beds
"Barn in Nutley, UK",Rural Retreat on the Ashdown Forest,Jun 12 - 17,184.00,,4.96 (114),1 double bed
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,Jun 11 - 16,136.00,,4.66 (277),4 single beds
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Jun 12 - 17,131.00,,4.81 (43),1 double bed
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,Jun 2 - 7,159.00,,4.96 (95),3 beds
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,Jun 18 - 25,76.00,,4.78 (24),4 beds
"Treehouse in Fountana, Greece",Nasos' Treehouse,Jun 1 - 6,98.00,,4.81 (98),2 single beds
"Cabin in Filipstad N, Sweden",FredrikLars farm at Nordmarksberg Manor,Jun 24 - 30,44.00,,4.98 (46),2 single beds
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",Sep 18 - 23,73.00,,4.99 (121),2 single beds
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,Jun 4 - 9,205.00,,4.92 (60),2 single beds
"Camper/RV in Mayen, Germany",Quaint "Petra Lustig" construction car,Jun 24 - 30,48.00,,None,2 single beds
"Room in Torreglia, Italy",Country House,Jun 11 - 16,69.00,66.00,4.94 (84),2 beds
"Cave in Mesaria, Greece",Luxury Triple cave room,Jun 12 - 17,129.00,157.00,4.72 (32),3 beds
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,Jun 11 - 16,136.00,99.00,4.66 (277),4 beds
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Jun 12 - 17,131.00,,4.81 (43),1 double bed
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,Jun 2 - 7,159.00,,4.96 (95),4 single beds
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,Jun 18 - 25,76.00,,4.78 (24),1 double bed
"Treehouse in Fountana, Greece",Nasos' Treehouse,Jun 1 - 6,98.00,,4.91 (32),1 queen bed
"Vacation home in Akrotiri, Greece",The North Windmill ⚓ Unique House with View,Jun 9 - 14,184.00,,4.98 (46),4 beds
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",Sep 18 - 23,73.00,,4.99 (121),1 king bed
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,Jun 4 - 9,205.00,,4.95 (111),2 beds
"Cottage in Trefeinon, UK",Bumble Bee Cottage,Jun 11 - 16,141.00,,4.93 (410),4 beds
"Yurt in Cynwyd, UK",Gorgeous yurt in amazing mountain/forest location,Jul 12 - 17,107.00,,4.91 (339),1 bed
"Apartment in Athina, Greece","Diamond Home 1, romantic gem, 20 min to Acropolis",Jul 5 - 10,112.00,,4.79 (217),4 beds
"Trullo in Alberobello, Italy",TrulLetto,Jun 4 - 9,114.00,,4.85 (52),3 beds
"Cabin in Båstad V, Sweden","Tyga Gård, probably most beautiful on Bjäre",Jun 1 - 6,94.00,,4.9 (43),1 queen bed
"Home in Coreggia, Italy",Silk Trulli,Jun 3 - 8,86.00,,4.52 (21),1 queen bed
"Trullo in Martina Franca, Italy",The Olive Tree Court,Jun 3 - 8,92.00,,4.85 (143),1 queen bed
"Room in Montale Rangone, Modena, Italy",LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK,Aug 21 - 26,73.00,,None,1 queen bed
"Room in Berlin, Germany",Friedrichshain Beautiful Sunny Room with Balcony,Jul 25 - 31,135.00,73.00,5.0 (6),2 beds
"Room in Rome, Italy",Cozy en-suite double room in S. Peter's / Borgo,Nov 30 - Dec 5,60.00,67.00,4.88 (331),1 king bed
"Room in Santa Lucia, Italy",Star Night Room - Van Gogh Hills B&B,Jun 1 - 6,68.00,,4.91 (23),3 beds
"Home in Reclesne, France",La Petite Chaumière,Jun 2 - 7,85.00,,4.79 (39),1 double bed
"Farm stay in Asciano, Italy",Green - Lawns in Tuscany,Jul 8 - 13,91.00,,4.97 (145),3 double beds
"Farm stay in Pennabilli, Italy",Casa Cerbaia | Betulla,Jun 21 - 26,86.00,,4.95 (19),4 double beds
"Barn in Nes På Hedmark, Norway","Sommerfjøset on Hovelsrud, Helgøya",Jul 14 - 20,328.00,,4.96 (136),2 beds
"Cabin in Torsåker, Sweden",Cozy cottage in Torsåker (Hofors),Jun 7 - 12,75.00,,4.83 (254),4 single beds
"Room in Saint-Mandé, France",Nice place for your stay in Paris,Oct 30 - Nov 5,86.00,,4.96 (319),1 sofa bed
"Cabin in Walpole, UK","Peaceful, wooden garden cabin",Jul 9 - 14,93.00,,4.91 (255),1 sofa bed
"Place to stay in East Farndon, UK",Rural farm-Spacious triple bedroom with en suite,Jul 2 - 7,71.00,,4.92 (113),1 sofa bed
"Room in Rüthen, Germany",Private room in the heart of nature,Jun 3 - 8,42.00,,4.96 (114),1 sofa bed
"Room in Rome, Italy",Xavier House,Oct 9 - 14,43.00,,4.89 (184),1 sofa bed
"Apartment in Plaka, Greece","Akti Karras, Plaka Naxos (up to 2 guests)",Jun 20 - 25,55.00,,4.91 (23),1 sofa bed
"Condo in Saint-Lary-Soulan, France",Studio lookout,Jun 1 - 6,31.00,,4.45 (240),1 sofa bed
"Room in Borgo Valbelluna, Italy",Bavarian room in the Dolomites,Jun 1 - 6,84.00,,4.8 (5),1 sofa bed
"Room in Kassel, Germany",Cosy interesting loam house,Jun 5 - 12,78.00,,5.0 (10),1 sofa bed
"Room in Barcelona , Spain",Nice room in duplex + terrace near BCN,Nov 11 - 16,55.00,,4.89 (128),1 sofa bed
"Tent in Sabóia, Portugal",Lost Paradise - A night into the Alentejo!,Jun 1 - 6,85.00,71.00,4.95 (39),5 double beds
"Place to stay in Mont-le-Vernois, France",Cabin in the wild,Sep 3 - 10,95.00,78.00,4.98 (46),2 queen beds
"Shipping container in Dirlaught, Ireland",Amazing shipping container house + sea views+ WIFI,Aug 7 - 12,164.00,,4.91 (43),1 bed
"Hut in Witzenhausen, Germany","Countryside Sleeps, Bakery, Homestay",Jul 16 - 21,73.00,,4.95 (385),1 double bed
"Room in Planos, Greece",Kimiro Hotel Tsilivi,Jun 5 - 10,97.00,,4.91 (43),1 double bed
"Apartment in Kadıköy, Turkey",Studio apartment with AC - Suite 3,Jun 17 - 22,34.00,,5.0 (3),3 beds
"Cottage in Nicosia, Italy",Sicilian Mountain Oasis - Entire Villa (Smart W.),Nov 14 - 19,100.00,,4.94 (325),2 double beds
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),Jun 8 - 13,74.00,,4.82 (223),1 bed
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111.00,,5.0 (11),1 bed
"Apartment in Areti, Greece",Echoes Exclusive Suite,Jun 29 - Jul 6,526.00,,4.98 (40),2 beds
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,Jun 3 - 8,319.00,,4.98 (52),1 king bed
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,Jun 10 - 15,357.00,,5.0 (61),2 beds
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Jun 26 - Jul 1,61.00,,4.72 (103),3 beds
"Guesthouse in Jonstorp, Sweden",Gäststuga Knorrasjön,Jun 12 - 17,95.00,,New,2 double beds
"Home in Positano, Italy",Villa Laurito,Oct 31 - Nov 5,185.00,,4.88 (66),1 double bed
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",Sep 16 - 21,67.00,,4.99 (335),1 bed
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Jun 5 - 10,86.00,,5.0 (57),2 beds
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135.00,,4.85 (13),2 beds
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),Jun 8 - 13,74.00,32.00,4.82 (223),2 double beds
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111.00,,5.0 (11),1 bed
"Apartment in Areti, Greece",Echoes Exclusive Suite,Jun 29 - Jul 6,526.00,,4.98 (40),1 bed
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,Jun 3 - 8,319.00,,4.98 (52),2 beds
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,Jun 10 - 15,357.00,,5.0 (61),1 king bed
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Jun 26 - Jul 1,61.00,,4.72 (103),2 beds
"Guesthouse in Jonstorp, Sweden",Gäststuga Knorrasjön,Jun 12 - 17,95.00,,New,3 beds
"Home in Positano, Italy",Villa Laurito,Oct 31 - Nov 5,185.00,,4.88 (66),2 double beds
"Treehouse in Penzance, UK",Peaceful Country Treehouse Nr Penzance & St Ives,Jul 6 - 11,294.00,,4.95 (292),1 double bed
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",Sep 16 - 21,67.00,,4.99 (335),1 double bed
"Cabin in La Atalaya, Spain",Cabaña ecológica de madera en la naturaleza,Jun 11 - 16,80.00,,4.79 (14),3 beds
"Tiny home in Vouzela, Portugal",Gallas Pod House,Jun 1 - 6,57.00,,5.0 (25),2 beds
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Jun 5 - 10,86.00,,5.0 (57),1 bed
"Apartment in Thessaloniki, Greece",Waterfront #41Design - CozyCityCenter Flat,Jul 8 - 13,70.00,,4.84 (546),2 beds
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135.00,,4.85 (13),2 beds
"Treehouse in Torbalı, Turkey","Treehouse Izmir 
View all our houses please ..",Jun 11 - 16,40.00,,4.9 (394),3 double beds
"Bungalow in Fethiye, Turkey",Kaktus Suites Fethiye - City Bungalow 2 w/pool,Jun 17 - 22,69.00,,4.87 (53),1 double bed
"Yurt in Finestrat, Spain",Yurt op Off-Grid Homestead,Jun 4 - 9,49.00,,4.92 (38),1 bed
"Cabin in Idrac respailles , France",Cabin into the wild,Jun 4 - 9,77.00,154.00,4.67 (282),1 queen bed
"Apartment in Kotor, Montenegro",💎Boka Bay view apartment.💎,Jul 8 - 14,93.00,102.00,4.69 (218),3 beds
"Home in Chalkida, Greece",Seaside & Garden Single family home,Jun 8 - 13,104.00,124.00,4.94 (33),2 beds
"Home in Skopelos, Greece",Del Sol. Studio across the sea 1.,Jun 1 - 6,61.00,259.00,New,2 beds
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",Jul 13 - 18,252.00,113.00,4.96 (464),3 queen beds
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Jun 5 - 10,58.00,,4.9 (110),4 beds
"Home in Atouguia da Baleia, Portugal","Spectacular view of Supertubos beach, Peniche",Oct 1 - 6,126.00,,4.82 (34),3 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123.00,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231.00,,4.85 (204),4 beds
"Treehouse in Verson, France",2 Cabins perched above a pond!,Jun 4 - 10,98.00,,4.91 (68),4 double beds
"Home in Vaiano, Italy",Casale La Quercia - Tuscany country house,Jun 21 - 26,111.00,,4.94 (530),2 beds
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",Jun 11 - 16,141.00,,5.0 (9),1 king bed
"Cabin in County Wicklow, Ireland",House with breathtaking views!,Jul 16 - 21,222.00,,4.97 (104),3 beds
"Home in Las Negras, Spain",La Casita de Las Negras,Jun 14 - 19,370.00,,4.85 (26),4 beds
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,Jul 21 - 26,111.00,,4.54 (201),2 beds
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,Jun 5 - 10,147.00,,4.8 (10),1 bed
"Cabin in Bridge of Earn, UK","The Haven Hut, warm, cosy and cute.",Jun 30 - Jul 5,64.00,,4.67 (9),1 sofa bed
"Campsite in Rif, Iceland",Washitsu.Casa camper Parking place w/house access,Jun 1 - 6,16.00,,None,1 bed
"Home in Chalkida, Greece",Seaside & Garden Single family home,Jun 8 - 13,104.00,154.00,4.94 (33),2 beds
"Home in Skopelos, Greece",Del Sol. Studio across the sea 1.,Jun 1 - 6,61.00,73.00,New,2 beds
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",Jul 13 - 18,252.00,102.00,4.96 (464),3 queen beds
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Jun 5 - 10,58.00,124.00,4.9 (110),4 beds
"Shepherd’s hut in County Durham, UK",Ben's hat,Jun 18 - 23,82.00,113.00,4.92 (356),2 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123.00,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231.00,,4.85 (204),4 beds
"Treehouse in Verson, France",2 Cabins perched above a pond!,Jun 4 - 10,98.00,,4.94 (530),4 double beds
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",Jun 11 - 16,141.00,,5.0 (18),1 king bed
"Room in Wien, Austria",Central luxury /Hauptbahnhof,Sep 17 - 22,92.00,,5.0 (9),3 beds
